Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      2.36     0.00      378     0.00     0.00  void fmt::BasicWriter<char>::write_int<unsigned int, fmt::IntFormatSpec<unsigned int, fmt::AlignTypeSpec<(char)0>, char> >(unsigned int, fmt::IntFormatSpec<unsigned int, fmt::AlignTypeSpec<(char)0>, char>)
  0.00      2.36     0.00      309     0.00     0.00  google::protobuf::(anonymous namespace)::SourceLocationCommentPrinter::~SourceLocationCommentPrinter()
  0.00      2.36     0.00      309     0.00     0.00  google::protobuf::internal::ArenaStringPtr::CreateInstance(google::protobuf::Arena*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*)
  0.00      2.36     0.00      309     0.00     0.00  google::protobuf::internal::WireFormatLite::ReadBytes(google::protobuf::io::CodedInputStream*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.00      2.36     0.00      309     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_replace_aux(unsigned long, unsigned long, unsigned long, char)
  0.00      2.36     0.00      281     0.00     0.00  bool boost::property_tree::json_parser::detail::source<boost::property_tree::json_parser::detail::encoding<char>, std::istreambuf_iterator<char, std::char_traits<char> >, std::istreambuf_iterator<char, std::char_traits<char> > >::have<boost::property_tree::json_parser::detail::source<boost::property_tree::json_parser::detail::encoding<char>, std::istreambuf_iterator<char, std::char_traits<char> >, std::istreambuf_iterator<char, std::char_traits<char> > >::DoNothing>(bool (boost::property_tree::json_parser::detail::encoding<char>::*)(char) const, boost::property_tree::json_parser::detail::source<boost::property_tree::json_parser::detail::encoding<char>, std::istreambuf_iterator<char, std::char_traits<char> >, std::istreambuf_iterator<char, std::char_traits<char> > >::DoNothing&) [clone .constprop.258]
  0.00      2.36     0.00      265     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::push_back(char)
  0.00      2.36     0.00      247     0.00     0.00  google::protobuf::io::CodedInputStream::ReadTagFallback(unsigned int)
  0.00      2.36     0.00      247     0.00     0.00  google::protobuf::internal::InternalMetadataWithArenaBase<google::protobuf::UnknownFieldSet, google::protobuf::internal::InternalMetadataWithArena>::~InternalMetadataWithArenaBase()
  0.00      2.36     0.00      245     0.00     0.00  google::protobuf::io::CodedInputStream::DecrementRecursionDepthAndPopLimit(int)
  0.00      2.36     0.00      245     0.00     0.00  google::protobuf::io::CodedInputStream::IncrementRecursionDepthAndPushLimit(int)
  0.00      2.36     0.00      240     0.00     0.00  void fmt::BasicWriter<char>::write_int<int, fmt::FormatSpec>(int, fmt::FormatSpec)
  0.00      2.36     0.00      186     0.00     0.00  boost::date_time::gregorian_calendar_base<boost::date_time::year_month_day_base<boost::gregorian::greg_year, boost::gregorian::greg_month, boost::gregorian::greg_day>, unsigned int>::from_day_number(unsigned int)
  0.00      2.36     0.00      186     0.00     0.00  stride::Calendar::GetDayOfTheWeek() const
  0.00      2.36     0.00      153     0.00     0.00  stride::Calendar::GetSimulationDay() const
  0.00      2.36     0.00      150     0.00     0.00  void std::vector<unsigned int, std::allocator<unsigned int> >::_M_realloc_insert<unsigned int>(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, unsigned int&&)
  0.00      2.36     0.00      145     0.00     0.00  google::protobuf::FieldDescriptorProto::SharedDtor()
  0.00      2.36     0.00      145     0.00     0.00  google::protobuf::FieldDescriptorProto::MergePartialFromCodedStream(google::protobuf::io::CodedInputStream*)
  0.00      2.36     0.00      145     0.00     0.00  google::protobuf::FieldDescriptorProto::FieldDescriptorProto()
  0.00      2.36     0.00      145     0.00     0.00  google::protobuf::FieldDescriptorProto* google::protobuf::Arena::CreateMaybeMessage<google::protobuf::FieldDescriptorProto>(google::protobuf::Arena*)
